REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_nan,DGUID2_A,DGUID2_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2004,2005,2016,213,223,0,66462638,5,78,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2004,2005,2016,210,223,0,66462635,2,1158,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2004,2005,2016,261,223,0,66462646,13,4092,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2004,2005,2016,235,223,0,66462640,7,4011,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2004,2005,2016,224,223,0,66462639,6,2001,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2004,2005,2016,247,223,0,66462642,9,7299,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2005,2006,2016,259,223,0,66462644,11,29202,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,11124,223,0,66462634,1,48726,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,246,223,0,66462641,8,1254,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,213,223,0,66462638,5,99,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,210,223,0,66462635,2,1110,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,261,223,0,66462646,13,4050,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,235,223,0,66462640,7,4002,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,224,223,0,66462639,6,1974,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2005,2006,2016,247,223,0,66462642,9,7035,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2006,2007,2016,259,223,0,66462644,11,29259,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,11124,223,0,66462634,1,46092,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,246,223,0,66462641,8,1137,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,213,223,0,66462638,5,129,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,210,223,0,66462635,2,1044,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,261,223,0,66462646,13,4032,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2006,2007,2016,235,223,0,66462640,7,3870,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
