REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,DGUID2_A,DGUID2_nan,Program type_Aboriginal language immersion programs,Program type_Regular Aboriginal language programs,Program type_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2015,2016,2016,246,223,0,1001753145,8.1,1803,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2015,2016,2016,213,223,0,1077009285,5.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2015,2016,2016,213,223,0,1001753142,5.1,321,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2015,2016,2016,210,223,0,1001753140,2.2,27,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2015,2016,2016,210,223,0,1001753139,2.1,591,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2015,2016,2016,261,223,0,1001753150,13.2,141,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2015,2016,2016,261,223,0,1073543528,13.1,3063,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2015,2016,2016,212,223,0,1077009284,4.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2015,2016,2016,212,223,0,1073543527,4.1,345,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2015,2016,2016,262,223,0,1077009294,14.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
